agent,step,total_games,alive_games,survival_probability
expectimax,293,3000,2969,0.9896666666666667
expectimax,294,3000,2969,0.9896666666666667
expectimax,295,3000,2969,0.9896666666666667
expectimax,296,3000,2969,0.9896666666666667
expectimax,297,3000,2969,0.9896666666666667
expectimax,298,3000,2969,0.9896666666666667
expectimax,299,3000,2969,0.9896666666666667
expectimax,300,3000,2969,0.9896666666666667
expectimax,301,3000,2969,0.9896666666666667
expectimax,302,3000,2969,0.9896666666666667
expectimax,303,3000,2969,0.9896666666666667
expectimax,304,3000,2969,0.9896666666666667
expectimax,305,3000,2969,0.9896666666666667
expectimax,306,3000,2969,0.9896666666666667
expectimax,307,3000,2969,0.9896666666666667
expectimax,308,3000,2968,0.9893333333333333
expectimax,309,3000,2968,0.9893333333333333
expectimax,310,3000,2968,0.9893333333333333
expectimax,311,3000,2968,0.9893333333333333
expectimax,312,3000,2968,0.9893333333333333
expectimax,313,3000,2968,0.9893333333333333
expectimax,314,3000,2968,0.9893333333333333
expectimax,315,3000,2968,0.9893333333333333
expectimax,316,3000,2968,0.9893333333333333
expectimax,317,3000,2968,0.9893333333333333
expectimax,318,3000,2968,0.9893333333333333
expectimax,319,3000,2968,0.9893333333333333
expectimax,320,3000,2968,0.9893333333333333
expectimax,321,3000,2968,0.9893333333333333
expectimax,322,3000,2968,0.9893333333333333
expectimax,323,3000,2968,0.9893333333333333
expectimax,324,3000,2968,0.9893333333333333
expectimax,325,3000,2968,0.9893333333333333
expectimax,326,3000,2968,0.9893333333333333
expectimax,327,3000,2968,0.9893333333333333
expectimax,328,3000,2968,0.9893333333333333
expectimax,329,3000,2968,0.9893333333333333
expectimax,330,3000,2968,0.9893333333333333
expectimax,331,3000,2968,0.9893333333333333
expectimax,332,3000,2968,0.9893333333333333
expectimax,333,3000,2968,0.9893333333333333
expectimax,334,3000,2968,0.9893333333333333
expectimax,335,3000,2968,0.9893333333333333
expectimax,336,3000,2968,0.9893333333333333
expectimax,337,3000,2966,0.9886666666666667
expectimax,338,3000,2966,0.9886666666666667
expectimax,339,3000,2964,0.988
expectimax,340,3000,2963,0.9876666666666667
expectimax,341,3000,2962,0.9873333333333333
expectimax,342,3000,2962,0.9873333333333333
expectimax,343,3000,2962,0.9873333333333333
expectimax,344,3000,2960,0.9866666666666667
expectimax,345,3000,2960,0.9866666666666667
expectimax,346,3000,2959,0.9863333333333333
expectimax,347,3000,2959,0.9863333333333333
expectimax,348,3000,2959,0.9863333333333333
expectimax,349,3000,2958,0.986
expectimax,350,3000,2956,0.9853333333333333
expectimax,351,3000,2956,0.9853333333333333
expectimax,352,3000,2956,0.9853333333333333
expectimax,353,3000,2955,0.985
expectimax,354,3000,2954,0.9846666666666667
expectimax,355,3000,2953,0.9843333333333333
expectimax,356,3000,2951,0.9836666666666667
expectimax,357,3000,2950,0.9833333333333333
expectimax,358,3000,2947,0.9823333333333333
expectimax,359,3000,2947,0.9823333333333333
expectimax,360,3000,2946,0.982
expectimax,361,3000,2945,0.9816666666666667
expectimax,362,3000,2943,0.981
expectimax,363,3000,2943,0.981
expectimax,364,3000,2943,0.981
expectimax,365,3000,2942,0.9806666666666667
expectimax,366,3000,2942,0.9806666666666667
expectimax,367,3000,2942,0.9806666666666667
expectimax,368,3000,2940,0.98
expectimax,369,3000,2939,0.9796666666666667
expectimax,370,3000,2939,0.9796666666666667
expectimax,371,3000,2939,0.9796666666666667
expectimax,372,3000,2938,0.9793333333333333
expectimax,373,3000,2938,0.9793333333333333
expectimax,374,3000,2938,0.9793333333333333
expectimax,375,3000,2938,0.9793333333333333
expectimax,376,3000,2938,0.9793333333333333
expectimax,377,3000,2937,0.979
expectimax,378,3000,2937,0.979
expectimax,379,3000,2937,0.979
expectimax,380,3000,2936,0.9786666666666667
expectimax,381,3000,2936,0.9786666666666667
expectimax,382,3000,2936,0.9786666666666667
expectimax,383,3000,2936,0.9786666666666667
expectimax,384,3000,2936,0.9786666666666667
expectimax,385,3000,2936,0.9786666666666667
expectimax,386,3000,2936,0.9786666666666667
expectimax,387,3000,2936,0.9786666666666667
expectimax,388,3000,2936,0.9786666666666667
expectimax,389,3000,2936,0.9786666666666667
expectimax,390,3000,2936,0.9786666666666667
expectimax,391,3000,2936,0.9786666666666667
expectimax,392,3000,2935,0.9783333333333334
expectimax,393,3000,2934,0.978
expectimax,394,3000,2934,0.978
expectimax,395,3000,2934,0.978
expectimax,396,3000,2933,0.9776666666666667
expectimax,397,3000,2932,0.9773333333333334
expectimax,398,3000,2932,0.9773333333333334
expectimax,399,3000,2931,0.977
expectimax,400,3000,2928,0.976
expectimax,401,3000,2926,0.9753333333333334
expectimax,402,3000,2924,0.9746666666666667
expectimax,403,3000,2924,0.9746666666666667
expectimax,404,3000,2923,0.9743333333333334
expectimax,405,3000,2923,0.9743333333333334
expectimax,406,3000,2923,0.9743333333333334
expectimax,407,3000,2922,0.974
expectimax,408,3000,2922,0.974
expectimax,409,3000,2920,0.9733333333333334
expectimax,410,3000,2920,0.9733333333333334
expectimax,411,3000,2919,0.973
expectimax,412,3000,2919,0.973
expectimax,413,3000,2919,0.973
expectimax,414,3000,2918,0.9726666666666667
expectimax,415,3000,2918,0.9726666666666667
expectimax,416,3000,2915,0.9716666666666667
expectimax,417,3000,2914,0.9713333333333334
expectimax,418,3000,2913,0.971
expectimax,419,3000,2913,0.971
expectimax,420,3000,2913,0.971
expectimax,421,3000,2911,0.9703333333333334
expectimax,422,3000,2911,0.9703333333333334
expectimax,423,3000,2908,0.9693333333333334
expectimax,424,3000,2905,0.9683333333333334
expectimax,425,3000,2904,0.968
expectimax,426,3000,2902,0.9673333333333334
expectimax,427,3000,2902,0.9673333333333334
expectimax,428,3000,2901,0.967
expectimax,429,3000,2901,0.967
expectimax,430,3000,2899,0.9663333333333334
expectimax,431,3000,2897,0.9656666666666667
expectimax,432,3000,2895,0.965
expectimax,433,3000,2890,0.9633333333333334
expectimax,434,3000,2886,0.962
expectimax,435,3000,2881,0.9603333333333334
expectimax,436,3000,2879,0.9596666666666667
expectimax,437,3000,2872,0.9573333333333334
expectimax,438,3000,2870,0.9566666666666667
expectimax,439,3000,2868,0.956
expectimax,440,3000,2859,0.953
expectimax,441,3000,2850,0.95
expectimax,442,3000,2845,0.9483333333333334
expectimax,443,3000,2838,0.946
expectimax,444,3000,2835,0.945
expectimax,445,3000,2829,0.943
expectimax,446,3000,2825,0.9416666666666667
expectimax,447,3000,2815,0.9383333333333334
expectimax,448,3000,2810,0.9366666666666666
expectimax,449,3000,2805,0.935
expectimax,450,3000,2793,0.931
expectimax,451,3000,2776,0.9253333333333333
expectimax,452,3000,2767,0.9223333333333333
expectimax,453,3000,2754,0.918
expectimax,454,3000,2744,0.9146666666666666
expectimax,455,3000,2733,0.911
expectimax,456,3000,2725,0.9083333333333333
expectimax,457,3000,2714,0.9046666666666666
expectimax,458,3000,2707,0.9023333333333333
expectimax,459,3000,2702,0.9006666666666666
expectimax,460,3000,2691,0.897
expectimax,461,3000,2682,0.894
expectimax,462,3000,2672,0.8906666666666667
expectimax,463,3000,2667,0.889
expectimax,464,3000,2657,0.8856666666666667
expectimax,465,3000,2648,0.8826666666666667
expectimax,466,3000,2636,0.8786666666666667
expectimax,467,3000,2631,0.877
expectimax,468,3000,2621,0.8736666666666667
expectimax,469,3000,2616,0.872
expectimax,470,3000,2611,0.8703333333333333
expectimax,471,3000,2602,0.8673333333333333
expectimax,472,3000,2595,0.865
expectimax,473,3000,2588,0.8626666666666667
expectimax,474,3000,2580,0.86
expectimax,475,3000,2572,0.8573333333333333
expectimax,476,3000,2567,0.8556666666666667
expectimax,477,3000,2559,0.853
expectimax,478,3000,2556,0.852
expectimax,479,3000,2550,0.85
expectimax,480,3000,2548,0.8493333333333334
expectimax,481,3000,2544,0.848
expectimax,482,3000,2540,0.8466666666666667
expectimax,483,3000,2534,0.8446666666666667
expectimax,484,3000,2532,0.844
expectimax,485,3000,2524,0.8413333333333334
expectimax,486,3000,2523,0.841
expectimax,487,3000,2520,0.84
expectimax,488,3000,2519,0.8396666666666667
expectimax,489,3000,2517,0.839
expectimax,490,3000,2514,0.838
expectimax,491,3000,2511,0.837
expectimax,492,3000,2509,0.8363333333333334
expectimax,493,3000,2506,0.8353333333333334
expectimax,494,3000,2503,0.8343333333333334
expectimax,495,3000,2502,0.834
expectimax,496,3000,2499,0.833
expectimax,497,3000,2497,0.8323333333333334
expectimax,498,3000,2494,0.8313333333333334
expectimax,499,3000,2492,0.8306666666666667
expectimax,500,3000,2492,0.8306666666666667
expectimax,501,3000,2492,0.8306666666666667
expectimax,502,3000,2492,0.8306666666666667
expectimax,503,3000,2489,0.8296666666666667
expectimax,504,3000,2486,0.8286666666666667
expectimax,505,3000,2485,0.8283333333333334
expectimax,506,3000,2485,0.8283333333333334
expectimax,507,3000,2484,0.828
expectimax,508,3000,2484,0.828
expectimax,509,3000,2482,0.8273333333333334
expectimax,510,3000,2481,0.827
expectimax,511,3000,2481,0.827
expectimax,512,3000,2481,0.827
expectimax,513,3000,2481,0.827
expectimax,514,3000,2481,0.827
expectimax,515,3000,2481,0.827
expectimax,516,3000,2481,0.827
expectimax,517,3000,2479,0.8263333333333334
expectimax,518,3000,2478,0.826
expectimax,519,3000,2478,0.826
expectimax,520,3000,2478,0.826
expectimax,521,3000,2477,0.8256666666666667
expectimax,522,3000,2477,0.8256666666666667
expectimax,523,3000,2477,0.8256666666666667
expectimax,524,3000,2477,0.8256666666666667
expectimax,525,3000,2477,0.8256666666666667
expectimax,526,3000,2477,0.8256666666666667
expectimax,527,3000,2477,0.8256666666666667
expectimax,528,3000,2477,0.8256666666666667
expectimax,529,3000,2477,0.8256666666666667
expectimax,530,3000,2477,0.8256666666666667
expectimax,531,3000,2477,0.8256666666666667
expectimax,532,3000,2477,0.8256666666666667
expectimax,533,3000,2477,0.8256666666666667
expectimax,534,3000,2477,0.8256666666666667
expectimax,535,3000,2477,0.8256666666666667
expectimax,536,3000,2477,0.8256666666666667
expectimax,537,3000,2477,0.8256666666666667
expectimax,538,3000,2477,0.8256666666666667
expectimax,539,3000,2477,0.8256666666666667
expectimax,540,3000,2477,0.8256666666666667
expectimax,541,3000,2477,0.8256666666666667
expectimax,542,3000,2477,0.8256666666666667
expectimax,543,3000,2477,0.8256666666666667
expectimax,544,3000,2475,0.825
expectimax,545,3000,2475,0.825
expectimax,546,3000,2475,0.825
expectimax,547,3000,2475,0.825
expectimax,548,3000,2475,0.825
expectimax,549,3000,2472,0.824
expectimax,550,3000,2472,0.824
expectimax,551,3000,2472,0.824
expectimax,552,3000,2472,0.824
expectimax,553,3000,2472,0.824
expectimax,554,3000,2472,0.824
expectimax,555,3000,2472,0.824
expectimax,556,3000,2472,0.824
expectimax,557,3000,2471,0.8236666666666667
expectimax,558,3000,2471,0.8236666666666667
expectimax,559,3000,2471,0.8236666666666667
expectimax,560,3000,2471,0.8236666666666667
expectimax,561,3000,2471,0.8236666666666667
expectimax,562,3000,2470,0.8233333333333334
expectimax,563,3000,2470,0.8233333333333334
expectimax,564,3000,2469,0.823
expectimax,565,3000,2469,0.823
expectimax,566,3000,2469,0.823
expectimax,567,3000,2469,0.823
expectimax,568,3000,2469,0.823
expectimax,569,3000,2469,0.823
expectimax,570,3000,2468,0.8226666666666667
expectimax,571,3000,2467,0.8223333333333334
expectimax,572,3000,2467,0.8223333333333334
expectimax,573,3000,2467,0.8223333333333334
expectimax,574,3000,2467,0.8223333333333334
expectimax,575,3000,2467,0.8223333333333334
expectimax,576,3000,2467,0.8223333333333334
expectimax,577,3000,2466,0.822
expectimax,578,3000,2466,0.822
expectimax,579,3000,2466,0.822
expectimax,580,3000,2464,0.8213333333333334
expectimax,581,3000,2464,0.8213333333333334
expectimax,582,3000,2464,0.8213333333333334
expectimax,583,3000,2464,0.8213333333333334
expectimax,584,3000,2463,0.821
expectimax,585,3000,2463,0.821
expectimax,586,3000,2463,0.821
expectimax,587,3000,2463,0.821
expectimax,588,3000,2463,0.821
expectimax,589,3000,2462,0.8206666666666667
expectimax,590,3000,2462,0.8206666666666667
expectimax,591,3000,2462,0.8206666666666667
expectimax,592,3000,2462,0.8206666666666667
expectimax,593,3000,2462,0.8206666666666667
expectimax,594,3000,2462,0.8206666666666667
expectimax,595,3000,2462,0.8206666666666667
expectimax,596,3000,2462,0.8206666666666667
expectimax,597,3000,2462,0.8206666666666667
expectimax,598,3000,2461,0.8203333333333334
expectimax,599,3000,2461,0.8203333333333334
expectimax,600,3000,2461,0.8203333333333334
expectimax,601,3000,2461,0.8203333333333334
expectimax,602,3000,2461,0.8203333333333334
expectimax,603,3000,2460,0.82
expectimax,604,3000,2460,0.82
expectimax,605,3000,2460,0.82
expectimax,606,3000,2459,0.8196666666666667
expectimax,607,3000,2459,0.8196666666666667
expectimax,608,3000,2458,0.8193333333333334
expectimax,609,3000,2456,0.8186666666666667
expectimax,610,3000,2455,0.8183333333333334
expectimax,611,3000,2454,0.818
expectimax,612,3000,2453,0.8176666666666667
expectimax,613,3000,2451,0.817
expectimax,614,3000,2450,0.8166666666666667
expectimax,615,3000,2449,0.8163333333333334
expectimax,616,3000,2447,0.8156666666666667
expectimax,617,3000,2444,0.8146666666666667
expectimax,618,3000,2444,0.8146666666666667
expectimax,619,3000,2442,0.814
expectimax,620,3000,2440,0.8133333333333334
expectimax,621,3000,2438,0.8126666666666666
expectimax,622,3000,2438,0.8126666666666666
expectimax,623,3000,2436,0.812
expectimax,624,3000,2435,0.8116666666666666
expectimax,625,3000,2434,0.8113333333333334
expectimax,626,3000,2433,0.811
expectimax,627,3000,2432,0.8106666666666666
expectimax,628,3000,2432,0.8106666666666666
expectimax,629,3000,2432,0.8106666666666666
expectimax,630,3000,2431,0.8103333333333333
expectimax,631,3000,2431,0.8103333333333333
expectimax,632,3000,2430,0.81
expectimax,633,3000,2430,0.81
expectimax,634,3000,2430,0.81
expectimax,635,3000,2428,0.8093333333333333
expectimax,636,3000,2426,0.8086666666666666
expectimax,637,3000,2425,0.8083333333333333
expectimax,638,3000,2424,0.808
expectimax,639,3000,2423,0.8076666666666666
expectimax,640,3000,2423,0.8076666666666666
expectimax,641,3000,2422,0.8073333333333333
expectimax,642,3000,2421,0.807
